timestamp,biosignal_0,biosignal_1,biosignal_2,biosignal_3,biosignal_4,biosignal_5,biosignal_6,biosignal_7,acceleration_x,acceleration_y,acceleration_z,angular_vec_x,angular_vec_y,angular_vec_z,magnetic_x,magnetic_y,magnetic_z,input_orientation_x,input_orientation_y,input_orientation_z,input_orientation_w,input_orientation_yaw,input_orientation_pitch,input_orientation_roll,input_projection_left,input_projection_top,input_projection_right,input_projection_bottom,prediction_time,predicted_orientation_x,predicted_orientation_y,predicted_orientation_z,predicted_orientation_w,predicted_orientation_yaw,predicted_orientation_pitch,predicted_orientation_roll,predicted_projection_left,predicted_projection_top,predicted_projection_right,predicted_projection_bottom
357279009540.00,0,0,0,0,0,0,0,0,-0.1688208,0.965528,-0.2025361,1.80047,-19.425594,-0.86607504,19.56,-38.94,-14.4,0.046775646,-0.570544606,-0.101480593,0.813629265,-1.234035969,0.194345459,-0.111993946,-1,1,1,-1,100,0.045802508,-0.562823176,-0.099905446,0.819238126,-1.2146157,0.18983273,-0.112371616,-1,1,1,-1
357290790346.00,0,0,0,0,0,0,0,0,-0.16808785,0.964795,-0.20204747,1.03047,-15.330595,-1.286075,19.98,-39.12,-14.82,0.046178513,-0.570518466,-0.101803584,0.813641355,-1.234064102,0.193749666,-0.113213517,-1,1,1,-1,100,0.043758057,-0.583011746,-0.102588803,0.804772079,-1.2649376,0.19248722,-0.11434733,-1,1,1,-1
357302234934.00,0,0,0,0,0,0,0,0,-0.15978119,0.9606417,-0.20473492,0.40047,-11.200594,-1.8810749,20.34,-39.239998,-15.24,0.04626996,-0.570151823,-0.102241077,0.813838283,-1.233335018,0.194371521,-0.113899715,-1,1,1,-1,100,0.043723371,-0.590674281,-0.102653839,0.799158514,-1.2839533,0.19358006,-0.11265901,-1,1,1,-1
357314761560.00,0,0,0,0,0,0,0,0,-0.1544063,0.95477813,-0.20497923,-0.40453002,-8.365594,-1.7760751,20.16,-38.7,-15.54,0.045568689,-0.569810604,-0.102150752,0.814128119,-1.232435465,0.193067461,-0.114647545,-1,1,1,-1,100,0.042333134,-0.594574988,-0.100152716,0.796654165,-1.2926822,0.1887888,-0.10945213,-1,1,1,-1
357325941439.00,0,0,0,0,0,0,0,0,-0.1526961,0.9533123,-0.20668945,-1.4895301,-5.775594,-1.6360749,19.98,-38.7,-15.24,0.044920508,-0.569379881,-0.101727956,0.814518337,-1.231197119,0.191440895,-0.114817008,-1,1,1,-1,100,0.040973458,-0.600496948,-0.098269731,0.792507172,-1.3067605,0.18506701,-0.106752716,-1,1,1,-1
357338339916.00,0,0,0,0,0,0,0,0,-0.14780982,0.9665052,-0.20839964,-2.04953,-3.6755948,-1.496075,20.22,-38.82,-15.36,0.044735452,-0.56879274,-0.101336727,0.814987378,-1.229611635,0.190589815,-0.114536166,-1,1,1,-1,100,0.040312503,-0.608115792,-0.097657643,0.786786616,-1.3257012,0.18425564,-0.10483403,-1,1,1,-1
357349991272.00,0,0,0,0,0,0,0,0,-0.13754864,0.9828743,-0.20668945,-1.4545299,-1.645595,-0.69107497,20.4,-38.879997,-15.24,0.044867965,-0.568496167,-0.101264707,0.815195948,-1.228868008,0.190680414,-0.114335574,-1,1,1,-1,100,0.041673277,-0.609448552,-0.097148322,0.785746694,-1.3289298,0.18593436,-0.10204955,-1,1,1,-1
357362153102.00,0,0,0,0,0,0,0,0,-0.13388394,0.9877605,-0.20864394,-0.50952995,-0.700595,0.113925,20.22,-38.34,-15.9,0.045927685,-0.568284626,-0.100775348,0.815345056,-1.228222609,0.191808239,-0.112369701,-1,1,1,-1,100,0.046125785,-0.600212574,-0.096907534,0.792607248,-1.3057281,0.19153956,-0.09840744,-1,1,1,-1
357373875696.00,0,0,0,0,0,0,0,0,-0.1297306,0.98018676,-0.2076667,0.61047006,0.734405,1.023925,20.1,-38.76,-15.42,0.046976982,-0.567507173,-0.100905201,0.815810586,-1.226424098,0.193579897,-0.111550719,-1,1,1,-1,100,0.0469082,-0.592715561,-0.095020473,0.798410356,-1.2863581,0.18954971,-0.09627286,-1,1,1,-1
357386762150.00,0,0,0,0,0,0,0,0,-0.1280204,0.9721244,-0.2076667,0.9604701,1.7844051,1.723925,19.74,-38.52,-15.059999,0.047892558,-0.56710197,-0.100674294,0.816067611,-1.225394845,0.19475542,-0.110217147,-1,1,1,-1,100,0.045867104,-0.592156231,-0.094021201,0.799003899,-1.2845806,0.18658262,-0.09607335,-1,1,1,-1
357397663643.00,0,0,0,0,0,0,0,0,-0.12924197,0.97285736,-0.20937689,1.17047,3.149405,2.5639248,19.859999,-37.98,-15.48,0.048827249,-0.566246597,-0.100087873,0.816678094,-1.223141432,0.195483774,-0.108394757,-1,1,1,-1,100,0.044083145,-0.593237162,-0.092900977,0.798433363,-1.2868215,0.18246932,-0.09619524,-1,1,1,-1
357409897662.00,0,0,0,0,0,0,0,0,-0.12557727,0.9809197,-0.2113314,2.0804698,4.969405,2.5989249,19.859999,-37.98,-15.24,0.049922513,-0.565025871,-0.100048407,0.817461818,-1.220208764,0.197080106,-0.107362621,-1,1,1,-1,100,0.043905258,-0.586636961,-0.090990052,0.80352366,-1.2697824,0.17907026,-0.0948546,-1,1,1,-1
357420586769.00,0,0,0,0,0,0,0,0,-0.12631021,0.9816527,-0.2132859,2.43047,5.7394047,2.423925,20.52,-38.04,-15.42,0.051200829,-0.56370098,-0.100103389,0.818290286,-1.217069387,0.199079826,-0.106303446,-1,1,1,-1,100,0.04460565,-0.570314825,-0.088858366,0.815386772,-1.229005,0.17577474,-0.09416846,-1,1,1,-1
357432936479.00,0,0,0,0,0,0,0,0,-0.11653766,0.97285736,-0.21279728,2.9204698,7.2794046,2.1089249,20.76,-38.579998,-15.599999,0.052075937,-0.562281957,-0.100131123,0.819207456,-1.213677645,0.200374618,-0.105690263,-1,1,1,-1,100,0.046569806,-0.549337327,-0.087607548,0.829689562,-1.1779608,0.17519929,-0.09434898,-1,1,1,-1
357444332054.00,0,0,0,0,0,0,0,0,-0.10456629,0.960886,-0.21646197,2.36047,8.084405,1.793925,20.22,-39,-15.36,0.052452355,-0.561234152,-0.100096001,0.819905951,-1.211143494,0.200821891,-0.105457872,-1,1,1,-1,100,0.050186373,-0.536475658,-0.089092657,0.837697923,-1.1479198,0.1814924,-0.095563315,-1,1,1,-1
357455969976.00,0,0,0,0,0,0,0,0,-0.10432197,0.95233494,-0.21401884,1.3104701,8.469404,1.933925,19.56,-38.94,-15.299999,0.053024535,-0.560194794,-0.09917913,0.820690984,-1.208320141,0.200562179,-0.103567749,-1,1,1,-1,100,0.052535471,-0.527755797,-0.090395123,0.842936873,-1.1278272,0.1859212,-0.09709546,-1,1,1,-1
357468397737.00,0,0,0,0,0,0,0,0,-0.102856085,0.95062476,-0.21548472,0.36547,8.679404,2.2839248,19.32,-39.059998,-15.24,0.053026276,-0.559166295,-0.098248865,0.821503761,-1.205497861,0.199350595,-0.102300957,-1,1,1,-1,100,0.053974375,-0.516730309,-0.09139134,0.849543512,-1.1023333,0.18819387,-0.09966637,-1,1,1,-1
